Row,Column,Assay,Sample,Conc,Ct,Tm,Efficiency,Flags
23,38,AY46,13A-rep3,-1,18.61,82.3,1.92,MultipleMeltPeaks
32,56,AY46,14A-rep1,-1,18.85,75.66,1.92,
6,2,AY46,14A-rep2,-1,18.95,76.24,1.94,
15,20,AY46,14A-rep3,-1,19.01,76.05,1.92,
24,38,AY46,15A-rep1,-1,18.53,80.24,1.92,MultipleMeltPeaks
33,56,AY46,15A-rep2,-1,18.77,75.21,1.93,MultipleMeltPeaks
7,2,AY46,15A-rep3,-1,18.81,76.33,1.95,
16,20,AY46,16A-rep1,-1,18.92,75.98,1.9,
25,38,AY46,16A-rep2,-1,19.23,82.31,1.91,
34,56,AY46,16A-rep3,-1,18.87,75.85,1.93,
40,2,AY46,17A-rep1,-1,18.37,76.05,1.97,
49,20,AY46,17A-rep2,-1,18.35,75.67,1.97,
58,38,AY46,17A-rep3,-1,18.28,82.27,1.92,MultipleMeltPeaks
67,56,AY46,18A-rep1,-1,18.53,75.93,1.94,
41,2,AY46,18A-rep2,-1,18.55,82.58,2,
50,20,AY46,18A-rep3,-1,18.68,82.37,2.05,MultipleMeltPeaks
59,38,AY46,19A-rep1,-1,18.51,75.89,1.92,
68,56,AY46,19A-rep2,-1,18.39,82.4,1.95,
42,2,AY46,19A-rep3,-1,18.54,76.12,1.96,
51,20,AY46,20A-rep1,-1,18.37,75.86,1.94,
60,38,AY46,20A-rep2,-1,18.51,80.01,1.94,MultipleMeltPeaks
69,56,AY46,20A-rep3,-1,18.42,82.42,2.01,MultipleMeltPeaks
43,2,AY46,21A-rep1,-1,18.54,76.1,1.98,
52,20,AY46,21A-rep2,-1,18.47,75.93,1.92,
61,38,AY46,21A-rep3,-1,18.54,80.25,1.93,MultipleMeltPeaks
70,56,AY46,22A-rep1,-1,18.31,75.54,1.96,MultipleMeltPeaks
8,2,AY46,22A-rep2,-1,18.41,76.21,1.93,
17,20,AY46,22A-rep3,-1,18.42,82.39,1.92,MultipleMeltPeaks
26,38,AY46,23A-rep1,-1,18.84,75.75,1.88,
35,56,AY46,23A-rep2,-1,18.89,75.84,1.92,
44,2,AY46,23A-rep3,-1,19.16,75.97,2.02,
53,20,AY46,24A-rep1,-1,18.36,82.33,1.95,
62,38,AY46,24A-rep2,-1,18.39,75.88,1.92,
71,56,AY46,24A-rep3,-1,18.3,76.11,1.96,
0,38,AY111,1A-rep1,-1,19.31,88.91,1.96,
9,56,AY111,1A-rep2,-1,19.82,88.61,1.87,MultipleMeltPeaks
18,2,AY111,1A-rep3,-1,19.5,88.98,1.88,MultipleMeltPeaks
27,20,AY111,2A-rep1,-1,19.6,88.73,1.88,MultipleMeltPeaks
1,38,AY111,2A-rep2,-1,19.64,88.9,1.91,MultipleMeltPeaks
10,56,AY111,2A-rep3,-1,19.66,88.93,1.89,MultipleMeltPeaks
19,2,AY111,3A-rep1,-1,19.09,89.06,1.87,MultipleMeltPeaks
28,20,AY111,3A-rep2,-1,19.5,89.02,1.87,MultipleMeltPeaks
2,38,AY111,3A-rep3,-1,19.52,88.72,1.86,MultipleMeltPeaks
11,56,AY111,4A-rep1,-1,19.36,88.7,1.86,MultipleMeltPeaks
20,2,AY111,4A-rep2,-1,19.25,88.96,1.89,MultipleMeltPeaks
29,20,AY111,4A-rep3,-1,19.59,88.67,1.88,MultipleMeltPeaks
3,38,AY111,5A-rep1,-1,19.78,88.89,1.87,MultipleMeltPeaks
12,56,AY111,5A-rep2,-1,19.72,91.12,1.88,MultipleMeltPeaks
21,2,AY111,5A-rep3,-1,19.87,89.39,1.91,MultipleMeltPeaks
